OrderID,CustomerID,RestaurantID,OrderDate,Age,Gender,City,Rating,OrderItemID,ItemName,ItemPrice,PaymentID,Amount,DeliveryID,DeliveryTime,DeliveryStatus,ItemsPerOrder,Cuisine,PaymentMode
15,1000,27,07-05-2024,59,Female,Kolkata,3.7,18192,"Dosa, Biryani, Pasta","""60,200,180""",1015,440,114,49,On Time,3,Chinese,UPI
16,1000,12,09-12-2024,59,Female,Bangalore,4.4,17950,"Idli, Biryani, Momos","""50,200,140""",1016,390,115,38,Cancelled,3,North Indian,Cash
17,1000,1,28-09-2024,59,Female,Hyderabad,4.7,18594,Idli,"""50""",1017,50,116,45,Cancelled,1,Chinese,UPI
18,3662,31,13-09-2024,60,Male,Bangalore,4.1,13373,"Sandwich, Noodles, Fried Rice","""80,150,170""",1018,400,117,64,On Time,3,North Indian,Cash
19,1000,42,24-08-2024,59,Female,Ahmedabad,3.8,15973,Biryani,"""200""",1019,200,118,45,Cancelled,1,Italian,Card
20,1000,25,10-10-2024,59,Female,Chennai,3.1,11885,Momos,"""140""",1020,140,119,24,Late,1,Fast Food,UPI
21,1000,21,07-05-2024,59,Female,Ahmedabad,2.6,12995,"Fries, Idli, Roll, Paratha","""90,50,110,70""",1021,320,120,22,Late,4,South Indian,Card
22,1000,3,22-03-2024,59,Female,Pune,3.3,15112,"Burger, Pizza, Sandwich","""120,250,80""",1022,450,121,62,Late,3,Italian,UPI
23,1000,36,22-10-2024,59,Female,Bangalore,4.5,10742,"Pasta, Paratha, Burger, Roll","""180,70,120,110""",1023,480,122,57,Cancelled,4,Fast Food,UPI
24,3328,50,30-08-2024,29,Female,Ahmedabad,3.1,15551,"Biryani, Fried Rice","""200,170""",1024,370,123,15,Late,2,Fast Food,UPI
25,1000,3,23-12-2024,59,Female,Pune,4.6,17324,"Momos, Dosa, Paneer Tikka, Fried Rice","""140,60,220,170""",1025,590,124,38,Cancelled,4,Chinese,UPI
26,1000,26,24-04-2024,59,Female,Chennai,3.1,15498,"Noodles, Burger, Paneer Tikka, Paratha","""150,120,220,70""",1026,560,125,31,On Time,4,Fast Food,Cash
27,1000,34,07-02-2024,59,Female,Mumbai,3,10907,Sandwich,"""80""",1027,80,126,52,On Time,1,Chinese,Card
28,1000,23,05-04-2024,59,Female,Kolkata,3,11425,"Noodles, Burger, Pasta, Momos","""150,120,180,140""",1028,590,127,58,On Time,4,Fast Food,UPI
29,1000,28,04-11-2024,59,Female,Chennai,2.5,11382,"Fried Rice, Momos","""170,140""",1029,310,128,47,Late,2,Italian,Cash
30,2993,39,31-08-2024,48,Female,Kolkata,3.6,10633,Paratha,"""70""",1030,70,129,31,On Time,1,South Indian,Card
31,3695,46,24-07-2024,49,Female,Pune,4.8,16250,"Roll, Fries","""110,90""",1031,200,130,70,On Time,2,South Indian,Cash
32,1000,3,16-05-2024,59,Female,Pune,2.5,16214,"Fries, Momos, Paneer Tikka","""90,140,220""",1032,450,131,48,On Time,3,Italian,UPI
33,1000,45,18-09-2024,59,Female,Mumbai,3.2,17873,"Noodles, Momos, Fries, Roll","""150,140,90,110""",1033,490,132,70,Late,4,Continental,Card
34,1000,10,03-08-2024,59,Female,Hyderabad,2.5,12338,"Sandwich, Burger, Dosa","""80,120,60""",1034,260,133,68,Late,3,Fast Food,UPI
35,3511,6,01-08-2024,21,Female,Pune,4.5,17853,Fried Rice,"""170""",1035,170,134,27,Cancelled,1,Fast Food,Card
36,3574,45,13-05-2024,47,Female,Mumbai,4.6,15935,"Fried Rice, Roll","""170,110""",1036,280,135,23,On Time,2,Italian,UPI
37,1000,41,28-02-2024,59,Female,Pune,4.6,15698,"Roll, Sandwich, Dosa","""110,80,60""",1037,250,136,48,Cancelled,3,Continental,Card
38,1000,22,02-04-2024,59,Female,Kolkata,2.9,18335,Noodles,"""150""",1038,150,137,18,Late,1,Italian,UPI
39,1000,48,25-02-2024,59,Female,Hyderabad,4.4,13862,"Paratha, Pasta, Paneer Tikka","""70,180,220""",1039,470,138,43,Cancelled,3,Continental,Card
40,1001,37,07-10-2024,18,Male,Bangalore,3.6,12097,"Pizza, Pasta","""250,180""",1040,430,139,50,Late,2,North Indian,Cash
41,1001,18,01-09-2024,18,Male,Bangalore,4.4,14370,"Noodles, Idli, Paneer Tikka","""150,50,220""",1041,420,140,15,On Time,3,Fast Food,Card
42,2051,15,22-01-2024,41,Female,Kolkata,2.9,16490,"Fries, Paratha","""90,70""",1042,160,141,25,Late,2,South Indian,Cash
43,1001,39,10-08-2024,18,Male,Kolkata,2.8,18812,"Pasta, Pizza, Fried Rice","""180,250,170""",1043,600,142,60,Cancelled,3,Fast Food,UPI
44,2420,1,11-01-2024,37,Female,Hyderabad,3.9,19266,"Sandwich, Fried Rice, Pasta","""80,170,180""",1044,430,143,32,Cancelled,3,Continental,UPI
45,3268,35,15-04-2024,44,Female,Pune,2.6,10717,"Burger, Biryani, Momos, Fries","""120,200,140,90""",1045,550,144,33,On Time,4,Fast Food,UPI
46,1001,26,14-08-2024,18,Male,Chennai,3.6,18072,"Fries, Noodles, Burger, Roll","""90,150,120,110""",1046,470,145,58,Cancelled,4,Italian,Cash
47,3669,49,11-02-2024,24,Female,Delhi,4.1,11275,"Sandwich, Idli, Paneer Tikka, Fried Rice","""80,50,220,170""",1047,520,146,44,Late,4,Continental,UPI
48,1001,35,22-01-2024,18,Male,Pune,4,16465,"Burger, Roll, Biryani","""120,110,200""",1048,430,147,39,Late,3,Continental,UPI
49,1001,33,28-05-2024,18,Male,Chennai,4.9,10113,"Pasta, Roll, Fried Rice","""180,110,170""",1049,460,148,59,On Time,3,Continental,Cash
50,1001,47,14-05-2024,18,Male,Kolkata,3.1,19674,"Roll, Pizza, Noodles, Dosa","""110,250,150,60""",1050,570,149,15,Cancelled,4,North Indian,Cash
51,1001,8,15-03-2024,18,Male,Mumbai,4.3,13448,"Burger, Noodles, Biryani, Idli","""120,150,200,50""",1051,520,150,55,On Time,4,Chinese,Card
52,1001,13,17-07-2024,18,Male,Ahmedabad,2.5,15461,"Fried Rice, Paratha, Pizza","""170,70,250""",1052,490,151,20,On Time,3,Italian,Card
53,3606,9,03-11-2024,33,Male,Chennai,4.2,15390,"Roll, Paratha","""110,70""",1053,180,152,38,On Time,2,South Indian,Cash
54,1001,2,28-07-2024,18,Male,Pune,4.6,14636,"Momos, Noodles","""140,150""",1054,290,153,58,Late,2,Continental,Card
55,3747,31,24-09-2024,24,Female,Bangalore,3.5,12324,"Pizza, Roll, Paneer Tikka, Idli","""250,110,220,50""",1055,630,154,66,Late,4,South Indian,Cash
56,1001,3,02-01-2024,18,Male,Pune,3.2,11390,Paratha,"""70""",1056,70,155,15,On Time,1,Chinese,UPI
57,1001,43,25-03-2024,18,Male,Ahmedabad,3.3,11992,Fries,"""90""",1057,90,156,55,Late,1,Continental,UPI
58,2902,9,25-10-2024,46,Female,Chennai,4.6,11747,"Momos, Fried Rice","""140,170""",1058,310,157,38,On Time,2,North Indian,Card
59,1001,29,15-04-2024,18,Male,Chennai,2.6,11619,"Pasta, Biryani, Dosa","""180,200,60""",1059,440,158,50,Cancelled,3,Italian,UPI
60,2304,50,25-03-2024,21,Female,Ahmedabad,4.1,19098,"Biryani, Roll, Paratha, Pizza","""200,110,70,250""",1060,630,159,46,Late,4,Fast Food,Card
61,1001,5,13-08-2024,18,Male,Chennai,3.9,10228,Paneer Tikka,"""220""",1061,220,160,64,Late,1,Chinese,Cash
62,1001,10,25-08-2024,18,Male,Hyderabad,4.2,14314,Biryani,"""200""",1062,200,161,39,On Time,1,North Indian,Card
63,1001,27,23-02-2024,18,Male,Kolkata,2.8,15401,"Biryani, Momos, Noodles","""200,140,150""",1063,490,162,37,Late,3,North Indian,UPI
64,1001,11,19-01-2024,18,Male,Delhi,4.5,15855,"Noodles, Burger, Pasta","""150,120,180""",1064,450,163,33,Late,3,North Indian,Cash
65,1001,33,17-06-2024,18,Male,Chennai,4.7,15965,"Fries, Fried Rice, Pasta","""90,170,180""",1065,440,164,51,Late,3,Chinese,UPI
66,1001,24,09-02-2024,18,Male,Ahmedabad,3,17724,"Biryani, Fries, Burger","""200,90,120""",1066,410,165,61,Cancelled,3,South Indian,Card
67,1001,16,14-09-2024,18,Male,Bangalore,4.8,14641,"Dosa, Noodles, Biryani","""60,150,200""",1067,410,166,67,Late,3,Continental,UPI
68,1001,38,01-01-2024,18,Male,Delhi,4.2,10774,"Fries, Noodles, Pizza, Idli","""90,150,250,50""",1068,540,167,36,Cancelled,4,Chinese,Cash
69,1001,7,03-10-2024,18,Male,Chennai,5,13486,Momos,"""140""",1069,140,168,25,On Time,1,North Indian,Card
70,2559,44,28-04-2024,50,Female,Mumbai,3,17823,Noodles,"""150""",1070,150,169,32,On Time,1,Italian,UPI
71,3970,47,10-06-2024,23,Male,Kolkata,2.8,12328,Paratha,"""70""",1071,70,170,58,On Time,1,Italian,Cash
72,1001,1,09-02-2024,18,Male,Hyderabad,2.5,11998,"Fried Rice, Noodles","""170,150""",1072,320,171,41,Late,2,South Indian,Cash
73,1001,29,05-07-2024,18,Male,Chennai,4.4,18667,Burger,"""120""",1073,120,172,41,On Time,1,South Indian,UPI
74,1001,31,17-06-2024,18,Male,Bangalore,4,18496,Paratha,"""70""",1074,70,173,54,On Time,1,South Indian,Card
75,1002,4,29-06-2024,54,Female,Bangalore,3.8,11904,Noodles,"""150""",1075,150,174,58,On Time,1,Continental,Cash
76,2002,42,08-08-2024,46,Female,Ahmedabad,2.8,18327,"Momos, Paratha, Roll, Burger","""140,70,110,120""",1076,440,175,17,On Time,4,South Indian,UPI
77,1002,36,29-04-2024,54,Female,Bangalore,3,13555,"Roll, Momos, Paratha, Biryani","""110,140,70,200""",1077,520,176,55,Late,4,Chinese,Cash
78,1002,29,18-07-2024,54,Female,Chennai,3.7,10190,"Fries, Sandwich, Momos, Paratha","""90,80,140,70""",1078,380,177,19,On Time,4,Italian,Cash
79,1002,49,21-11-2024,54,Female,Delhi,2.9,12998,Burger,"""120""",1079,120,178,45,Late,1,North Indian,Card
80,1002,40,07-08-2024,54,Female,Bangalore,2.8,10926,Paratha,"""70""",1080,70,179,21,Cancelled,1,Chinese,UPI
81,1002,27,15-09-2024,54,Female,Kolkata,2.6,14925,Idli,"""50""",1081,50,180,58,Cancelled,1,North Indian,UPI
82,1002,26,23-12-2024,54,Female,Chennai,3.2,11924,"Pasta, Noodles, Idli","""180,150,50""",1082,380,181,56,Late,3,North Indian,Card
83,1002,18,23-04-2024,54,Female,Bangalore,3.2,12144,"Momos, Paneer Tikka, Biryani, Pizza","""140,220,200,250""",1083,810,182,46,Cancelled,4,Italian,UPI
84,2621,26,13-12-2024,22,Female,Chennai,2.9,15462,"Sandwich, Burger, Paratha","""80,120,70""",1084,270,183,24,On Time,3,Chinese,UPI
85,1002,42,02-06-2024,54,Female,Ahmedabad,3,10756,"Dosa, Roll","""60,110""",1085,170,184,25,On Time,2,Continental,Cash
86,1002,47,20-04-2024,54,Female,Kolkata,4.9,12151,"Roll, Idli, Sandwich, Momos","""110,50,80,140""",1086,380,185,21,On Time,4,North Indian,Cash
87,1002,37,19-11-2024,54,Female,Bangalore,2.6,11056,"Dosa, Fried Rice, Pizza, Momos","""60,170,250,140""",1087,620,186,55,Late,4,Continental,Card
88,1002,43,22-06-2024,54,Female,Ahmedabad,5,19449,"Paratha, Fried Rice, Roll","""70,170,110""",1088,350,187,46,Late,3,South Indian,Cash
89,2843,19,13-09-2024,19,Male,Mumbai,3.8,14213,"Idli, Pizza, Sandwich, Noodles","""50,250,80,150""",1089,530,188,56,On Time,4,South Indian,Cash
90,1002,19,18-01-2024,54,Female,Mumbai,3.6,10354,"Idli, Burger, Paratha","""50,120,70""",1090,240,189,20,Late,3,North Indian,UPI
91,1002,7,17-04-2024,54,Female,Chennai,4,17341,Pizza,"""250""",1091,250,190,30,Cancelled,1,South Indian,Card
92,2595,1,01-10-2024,29,Male,Hyderabad,3.7,11817,"Dosa, Paratha, Idli","""60,70,50""",1092,180,191,19,Cancelled,3,Chinese,Card
93,2589,37,19-08-2024,43,Female,Bangalore,2.8,17777,"Pasta, Pizza, Noodles, Roll","""180,250,150,110""",1093,690,192,54,Late,4,North Indian,UPI
94,1002,35,09-05-2024,54,Female,Pune,4.6,16200,Idli,"""50""",1094,50,193,34,On Time,1,Fast Food,Card
95,1002,10,19-12-2024,54,Female,Hyderabad,4.4,14684,"Roll, Momos, Sandwich, Pasta","""110,140,80,180""",1095,510,194,29,Late,4,South Indian,UPI
96,2330,31,24-10-2024,30,Female,Bangalore,4.5,17104,"Roll, Paneer Tikka, Dosa","""110,220,60""",1096,390,195,55,On Time,3,Italian,Card
97,2462,40,31-08-2024,29,Female,Bangalore,4.7,19908,"Pasta, Burger, Idli","""180,120,50""",1097,350,196,29,Cancelled,3,South Indian,Card
98,1002,40,19-09-2024,54,Female,Bangalore,2.9,14319,"Paneer Tikka, Roll","""220,110""",1098,330,197,50,On Time,2,Fast Food,Card
99,1002,10,04-03-2024,54,Female,Hyderabad,3.6,14412,"Pasta, Fried Rice","""180,170""",1099,350,198,18,On Time,2,Chinese,Card
100,2190,19,12-10-2024,35,Female,Mumbai,3.3,11050,"Paneer Tikka, Burger","""220,120""",1100,340,199,24,On Time,2,Chinese,UPI
101,1002,29,27-01-2024,54,Female,Chennai,2.6,19452,"Idli, Burger","""50,120""",1101,170,200,23,Cancelled,2,Chinese,Card
102,3646,31,30-12-2024,35,Female,Bangalore,4,14352,"Paneer Tikka, Burger, Paratha","""220,120,70""",1102,410,201,29,On Time,3,Continental,Card
103,3960,6,04-11-2024,37,Female,Pune,3.9,17796,"Fried Rice, Burger","""170,120""",1103,290,202,16,Late,2,North Indian,Cash
104,2388,16,29-02-2024,44,Male,Bangalore,4.2,18548,"Roll, Biryani, Sandwich","""110,200,80""",1104,390,203,32,Late,3,Fast Food,Cash
105,1002,16,24-05-2024,54,Female,Bangalore,3.6,18860,Dosa,"""60""",1105,60,204,16,On Time,1,South Indian,UPI
106,1002,24,26-04-2024,54,Female,Ahmedabad,3.7,10330,"Biryani, Paratha, Paneer Tikka","""200,70,220""",1106,490,205,19,Cancelled,3,Italian,UPI
107,1002,47,20-07-2024,54,Female,Kolkata,4.5,13768,"Momos, Idli, Pizza","""140,50,250""",1107,440,206,45,Cancelled,3,Fast Food,Cash
108,1003,41,03-04-2024,32,Male,Pune,5,11274,"Momos, Dosa, Idli, Biryani","""140,60,50,200""",1108,450,207,53,On Time,4,South Indian,Cash
109,1003,32,11-01-2024,32,Male,Pune,5,16179,Dosa,"""60""",1109,60,208,30,Late,1,South Indian,Card
110,1003,49,25-11-2024,32,Male,Delhi,4.2,14598,"Paneer Tikka, Pizza, Fried Rice, Paratha","""220,250,170,70""",1110,710,209,37,On Time,4,Continental,Card
111,1003,38,09-03-2024,32,Male,Delhi,2.8,17187,"Sandwich, Idli","""80,50""",1111,130,210,16,On Time,2,Continental,UPI
112,1003,48,16-07-2024,32,Male,Hyderabad,3.6,14490,Fries,"""90""",1112,90,211,43,Cancelled,1,Chinese,UPI
113,1003,32,19-10-2024,32,Male,Pune,4.8,14942,Dosa,"""60""",1113,60,212,49,On Time,1,Continental,Cash
114,1003,37,13-12-2024,32,Male,Bangalore,4.2,15906,"Pizza, Dosa, Fried Rice, Biryani","""250,60,170,200""",1114,680,213,66,Late,4,Fast Food,Cash
115,1003,2,03-11-2024,32,Male,Pune,3.1,15746,"Pizza, Dosa, Pasta","""250,60,180""",1115,490,214,37,Cancelled,3,Fast Food,UPI
116,3480,5,12-05-2024,22,Male,Chennai,3.8,17549,"Biryani, Burger, Pasta, Fries","""200,120,180,90""",1116,590,215,20,Cancelled,4,Fast Food,Cash
117,1003,33,14-04-2024,32,Male,Chennai,2.7,18598,"Fries, Fried Rice","""90,170""",1117,260,216,45,Late,2,Italian,Cash
118,1003,27,07-11-2024,32,Male,Kolkata,2.6,13184,"Sandwich, Momos","""80,140""",1118,220,217,15,Cancelled,2,Fast Food,UPI
119,1003,15,17-04-2024,32,Male,Kolkata,3,17759,"Paneer Tikka, Pizza, Sandwich, Roll","""220,250,80,110""",1119,660,218,45,Cancelled,4,Fast Food,Card
120,3236,47,27-04-2024,29,Female,Kolkata,4.2,14101,"Paratha, Momos","""70,140""",1120,210,219,20,On Time,2,Italian,Cash
121,1003,44,14-07-2024,32,Male,Mumbai,3.4,10994,Momos,"""140""",1121,140,220,64,Cancelled,1,Continental,Cash
122,3769,43,05-02-2024,35,Female,Ahmedabad,4.4,17315,"Biryani, Pasta, Pizza, Sandwich","""200,180,250,80""",1122,710,221,41,Cancelled,4,Continental,UPI
123,1003,45,14-09-2024,32,Male,Mumbai,3.8,16165,Biryani,"""200""",1123,200,222,54,Cancelled,1,South Indian,Cash
124,3274,14,01-11-2024,59,Male,Pune,3.3,13333,"Sandwich, Dosa","""80,60""",1124,140,223,46,Late,2,Italian,UPI
125,3230,9,29-04-2024,29,Male,Chennai,3.4,14735,"Dosa, Pasta, Roll","""60,180,110""",1125,350,224,37,Cancelled,3,Fast Food,Card
126,1003,33,15-06-2024,32,Male,Chennai,4.8,14327,"Momos, Biryani, Idli, Fries","""140,200,50,90""",1126,480,225,30,Late,4,Italian,Card
127,1003,26,27-06-2024,32,Male,Chennai,3.5,18837,Fried Rice,"""170""",1127,170,226,66,Late,1,Fast Food,UPI
128,2505,20,09-01-2024,21,Male,Pune,3.5,18881,Paneer Tikka,"""220""",1128,220,227,54,Late,1,Chinese,UPI
129,1003,21,06-12-2024,32,Male,Ahmedabad,3.9,16597,"Biryani, Fries, Dosa, Fried Rice","""200,90,60,170""",1129,520,228,67,Late,4,Continental,Cash
130,1003,8,07-05-2024,32,Male,Mumbai,2.6,16767,Momos,"""140""",1130,140,229,57,On Time,1,South Indian,UPI
131,1003,12,21-06-2024,32,Male,Bangalore,4.2,13018,"Roll, Sandwich, Noodles, Fries","""110,80,150,90""",1131,430,230,30,On Time,4,North Indian,Card
132,1003,49,09-08-2024,32,Male,Delhi,2.6,13391,"Paneer Tikka, Fried Rice, Noodles, Roll","""220,170,150,110""",1132,650,231,49,Late,4,Continental,Card
133,1003,2,08-10-2024,32,Male,Pune,3.5,19650,"Momos, Fried Rice","""140,170""",1133,310,232,38,Late,2,South Indian,UPI
134,3081,35,29-05-2024,43,Male,Pune,4.6,10278,"Fries, Paratha, Noodles, Idli","""90,70,150,50""",1134,360,233,34,On Time,4,North Indian,Cash
135,2532,17,12-06-2024,27,Male,Ahmedabad,2.7,14024,"Pizza, Dosa","""250,60""",1135,310,234,19,On Time,2,South Indian,UPI
136,1003,34,11-10-2024,32,Male,Mumbai,4.2,13954,"Fries, Idli, Pasta, Dosa","""90,50,180,60""",1136,380,235,32,Late,4,Italian,Card
137,1003,24,13-01-2024,32,Male,Ahmedabad,4.7,19877,Momos,"""140""",1137,140,236,29,Late,1,South Indian,Cash
138,1003,18,09-03-2024,32,Male,Bangalore,3.7,15171,"Fried Rice, Roll, Sandwich","""170,110,80""",1138,360,237,23,Cancelled,3,North Indian,Card
139,1003,48,01-09-2024,32,Male,Hyderabad,4.2,12033,Dosa,"""60""",1139,60,238,37,On Time,1,Continental,Cash
140,3817,12,20-12-2024,57,Female,Bangalore,3.5,14410,"Pasta, Idli, Momos, Paneer Tikka","""180,50,140,220""",1140,590,239,47,Cancelled,4,North Indian,Cash
141,1004,12,01-03-2024,31,Male,Bangalore,3.5,15001,Fries,"""90""",1141,90,240,59,Cancelled,1,South Indian,Card
142,1004,39,29-02-2024,31,Male,Kolkata,3.8,18823,"Dosa, Paratha, Roll, Momos","""60,70,110,140""",1142,380,241,30,Cancelled,4,Italian,Cash
143,1004,7,28-01-2024,31,Male,Chennai,2.6,16399,Pizza,"""250""",1143,250,242,42,Late,1,North Indian,Card
144,1004,1,13-08-2024,31,Male,Hyderabad,3.6,14352,"Pasta, Momos, Roll","""180,140,110""",1144,430,243,51,On Time,3,Fast Food,Card
145,2481,33,23-09-2024,40,Female,Chennai,2.6,17854,"Fried Rice, Noodles","""170,150""",1145,320,244,64,Late,2,South Indian,UPI
146,1004,30,01-07-2024,31,Male,Bangalore,3.7,10439,"Pizza, Paneer Tikka, Paratha, Dosa","""250,220,70,60""",1146,600,245,56,On Time,4,Italian,Cash
147,2751,4,17-10-2024,60,Female,Bangalore,2.5,16910,"Noodles, Dosa","""150,60""",1147,210,246,54,On Time,2,Italian,UPI
148,2758,50,30-04-2024,36,Female,Ahmedabad,4.1,15202,"Paratha, Burger","""70,120""",1148,190,247,40,On Time,2,Italian,Cash
149,1004,24,22-08-2024,31,Male,Ahmedabad,2.8,11060,Idli,"""50""",1149,50,248,39,Cancelled,1,Italian,Cash
150,1004,5,16-03-2024,31,Male,Chennai,4.5,14610,"Sandwich, Momos, Biryani, Paratha","""80,140,200,70""",1150,490,249,67,Late,4,Fast Food,Card
151,3383,42,14-02-2024,38,Male,Ahmedabad,4.1,17258,"Roll, Dosa","""110,60""",1151,170,250,61,Cancelled,2,Continental,Cash
152,1004,30,11-02-2024,31,Male,Bangalore,4.6,18229,"Burger, Sandwich, Paratha, Paneer Tikka","""120,80,70,220""",1152,490,251,16,Cancelled,4,North Indian,Cash
153,1004,28,29-03-2024,31,Male,Chennai,4.5,18720,"Idli, Paratha, Momos","""50,70,140""",1153,260,252,37,Late,3,Fast Food,Cash
154,1004,3,28-02-2024,31,Male,Pune,2.5,12637,"Biryani, Pizza, Paratha","""200,250,70""",1154,520,253,68,Late,3,Italian,UPI
155,1004,9,04-02-2024,31,Male,Chennai,4.2,19974,"Fried Rice, Idli, Fries","""170,50,90""",1155,310,254,51,Late,3,Continental,Card
156,1004,13,25-08-2024,31,Male,Ahmedabad,4.2,14285,"Pizza, Idli, Biryani","""250,50,200""",1156,500,255,38,Late,3,Fast Food,UPI
157,1004,10,23-09-2024,31,Male,Hyderabad,4.9,16897,Noodles,"""150""",1157,150,256,30,Late,1,South Indian,Card
158,1004,33,13-03-2024,31,Male,Chennai,3.4,15461,"Burger, Sandwich","""120,80""",1158,200,257,51,On Time,2,Fast Food,Card
159,1004,25,22-12-2024,31,Male,Chennai,3.5,16996,Roll,"""110""",1159,110,258,15,On Time,1,Fast Food,Cash
160,1004,29,01-05-2024,31,Male,Chennai,5,10055,Paratha,"""70""",1160,70,259,50,Cancelled,1,Chinese,Cash
161,1004,10,27-06-2024,31,Male,Hyderabad,4.2,18980,"Paneer Tikka, Momos, Idli, Dosa","""220,140,50,60""",1161,470,260,49,Cancelled,4,Fast Food,Card
162,1004,48,14-08-2024,31,Male,Hyderabad,2.6,10498,Roll,"""110""",1162,110,261,34,Cancelled,1,Chinese,Card
163,1004,31,08-01-2024,31,Male,Bangalore,2.9,16385,"Noodles, Idli","""150,50""",1163,200,262,62,Cancelled,2,Chinese,Cash
164,1004,10,24-06-2024,31,Male,Hyderabad,3,17658,Roll,"""110""",1164,110,263,62,Late,1,Fast Food,Card
165,1004,43,28-11-2024,31,Male,Ahmedabad,2.8,17623,Fries,"""90""",1165,90,264,17,Cancelled,1,Continental,Card
166,1004,13,08-08-2024,31,Male,Ahmedabad,3.3,11344,"Pizza, Noodles, Sandwich, Fries","""250,150,80,90""",1166,570,265,31,On Time,4,Chinese,Cash
167,1004,22,13-12-2024,31,Male,Kolkata,3.7,15664,"Fries, Paratha","""90,70""",1167,160,266,24,Cancelled,2,North Indian,Cash
168,2573,6,02-10-2024,26,Male,Pune,3.5,14686,Pizza,"""250""",1168,250,267,32,Cancelled,1,South Indian,UPI
169,2841,43,24-04-2024,33,Male,Ahmedabad,4.9,17284,Fried Rice,"""170""",1169,170,268,24,On Time,1,North Indian,Cash
170,1004,12,04-03-2024,31,Male,Bangalore,2.9,16330,"Pizza, Pasta","""250,180""",1170,430,269,44,Cancelled,2,South Indian,Cash
171,2422,8,13-11-2024,44,Male,Mumbai,4,10387,"Burger, Fries","""120,90""",1171,210,270,29,Late,2,Italian,UPI
172,1005,12,15-07-2024,39,Female,Bangalore,4.5,18987,"Noodles, Paneer Tikka, Biryani, Momos","""150,220,200,140""",1172,710,271,15,On Time,4,North Indian,Card
173,1005,28,21-11-2024,39,Female,Chennai,2.9,18841,"Paneer Tikka, Idli","""220,50""",1173,270,272,30,Late,2,Fast Food,Cash
174,2386,36,14-10-2024,46,Male,Bangalore,2.8,17243,"Fried Rice, Paratha, Fries, Dosa","""170,70,90,60""",1174,390,273,28,Late,4,Fast Food,Card
175,1005,4,06-06-2024,39,Female,Bangalore,4.9,18419,"Fried Rice, Dosa, Roll","""170,60,110""",1175,340,274,22,Cancelled,3,Continental,UPI
176,2363,4,21-11-2024,36,Female,Bangalore,3.7,13125,Roll,"""110""",1176,110,275,70,Late,1,Continental,UPI
177,1005,36,25-09-2024,39,Female,Bangalore,4.6,17190,"Burger, Noodles, Fries","""120,150,90""",1177,360,276,64,Cancelled,3,Chinese,UPI
178,1005,25,03-11-2024,39,Female,Chennai,4.1,14305,"Biryani, Burger, Pasta","""200,120,180""",1178,500,277,56,Cancelled,3,Fast Food,Cash
179,1005,24,21-08-2024,39,Female,Ahmedabad,2.5,17465,Momos,"""140""",1179,140,278,61,Cancelled,1,Fast Food,Cash
180,1005,20,29-02-2024,39,Female,Pune,4.1,12241,"Burger, Pasta, Idli","""120,180,50""",1180,350,279,47,Late,3,Fast Food,UPI
